Sexe,Âge,Type de contenu,Influence qualité visuelle sur likes,Influence visages sur likes,Impact commentaires partages sur likes,Influence réactivité auteur sur likes,Influence hashtags sur likes,Influence notifications sur likes,Influence événements spécifiques sur likes,Influence mises à jour sur likes,Types contenu plus engageants,Heure idéale pour plus de likes,Conseils pour augmenter les likes

"Homme","18-24 ans","Photo/image, Vidéo, Citation / Texte","Oui","Oui","Impact très positif","Oui","Oui","Parfois","Oui","oui, positivement","","18h-20h",""
"Homme","18-24 ans","Photo/image, Vidéo, Citation / Texte","Oui","Oui","Impact très positif","Oui","Oui","Oui, souvent","Oui","oui, positivement","Contenu humoristique ou divertissant","18h-20h",""
"Homme","18-24 ans","Photo/image","Oui","Oui","Impact très positif","Oui","Oui","Oui, souvent","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","6h-9h",""
"Homme","18-24 ans","Vidéo","Oui","Oui","Impact modéré","Oui","Oui","Oui, souvent","Oui","oui, positivement","Contenu motivant ou inspirant","18h-20h, Nuit","la nouveauté "
"Femme","Moins de 18 ans","Vidéo, Citation / Texte","Oui","Oui","Impact très positif","Oui","Non","Parfois","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","Nuit",""
"Homme","18-24 ans","Photo/image, Vidéo","Oui","Oui","Impact très positif","Oui","Oui","Parfois","Oui","oui, positivement","Contenu humoristique ou divertissant","18h-20h, Nuit",""
"Homme","45 ans et plus","Photo/image","Oui","Oui","Aucun impact","Non","Non","Jamais","Oui","Non,aucun impact","Contenu motivant ou inspirant","6h-9h",""
"Femme","25-34 ans","Vidéo","Non","Non","Impact très positif","Oui","Oui","Oui, souvent","Non","Non,aucun impact","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","6h-9h",""
"Homme","18-24 ans","Photo/image, Vidéo","Oui","Oui","Impact modéré","Oui","Oui","Oui, souvent","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","6h-9h","Flemme de répondre "
"Homme","18-24 ans","Photo/image, Vidéo","Oui","Oui","Impact modéré","Oui","Oui","Parfois","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","6h-9h","Flemme de répondre "
"Homme","25-34 ans","Vidéo, Citation / Texte","Oui","Non","Impact modéré","Oui","Non","Oui, souvent","Oui","oui, positivement","Contenu motivant ou inspirant","12h-14h, 18h-20h, Nuit","Poster régulièrement, la meme niches   "
"Homme","18-24 ans","Photo/image, Vidéo","Oui","Oui","Impact modéré","Oui","Oui","Parfois","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","6h-9h","Flemme de répondre "
"Homme","18-24 ans","Photo/image, Vidéo","Oui","Oui","Impact modéré","Oui","Oui","Parfois","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","6h-9h","Flemme de répondre "
"Homme","18-24 ans","Photo/image, Vidéo","Oui","Oui","Impact très positif","Oui","Oui","Parfois","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","6h-9h","Flemme de répondre "
"Homme","18-24 ans","Photo/image, Vidéo","Oui","Non","Peu d’impact","Non","Non","Parfois","Oui","Non,aucun impact","Contenu humoristique ou divertissant","Nuit","Publiez du contenu attractif, utilisez des hashtags pertinents, interagissez avec votre audience et postez aux heures de forte affluence."
"Homme","18-24 ans","Photo/image, Vidéo","Oui","Oui","Impact très positif","Oui","Oui","Oui, souvent","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","Nuit",""
"Homme","18-24 ans","Photo/image, Vidéo","Oui","Oui","Impact très positif","Oui","Oui","Oui, souvent","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","6h-9h",""
"Femme","18-24 ans","Vidéo, Infographie","Oui","Oui","Impact modéré","Non","Oui","Oui, souvent","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","Nuit","انشرو الحب"
"Femme","Moins de 18 ans","Vidéo","Oui","Non","Impact modéré","Non","Oui","Parfois","Oui","Non,aucun impact","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","Nuit",""
"Femme","18-24 ans","Photo/image","Oui","Oui","Impact modéré","Non","Oui","Oui, souvent","Non","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","12h-14h","C'est bon"
